,seller,money
998,cff05a7f66,5
176,1f8ebe4704,5
848,af5d75d3f7,5
895,b68ca461ed,4
426,5140b09cb8,4
252,2d387d27fb,4
551,72883a42ac,4
703,94933869ea,4
111,14406e3111,4
287,340785e21d,4
847,aed1ef6c46,4
1213,fa6e565270,4
84,0ec2098a59,3
929,beb8741a81,3
452,589bf08b2b,3
599,7bab808eb6,3
767,a133a7a3f8,3
62,09bee1cc19,3
336,3d6112f5c5,3
359,41fdb38af1,3
380,4682356a96,3
117,1512dc3985,3
666,8e0fd78d27,3
247,2cb75d8a53,3
620,8197a9acdf,2
833,ac6a387eea,2
556,7313bd717c,2
1214,fa9319588e,2
9,01700ae4ca,2
418,4f06d96305,2
502,66d955d2af,2
911,ba2594ed5f,2
931,bee0668820,2
631,83e5e0ec3e,2
237,2a8f91ca54,2
956,c4887fca93,2
1153,ee3d6f9c05,2
131,172cb38c2a,1
1021,d33630c43c,1
167,1dfd491bbe,1
602,7c3860b272,1
544,708500399e,1
177,1f98228683,1
92,10e3bad1b3,1
157,1ba1a3de91,1
825,aaa0b8f298,1
1147,ec9178e35b,1
899,b81bd091d3,1
902,b8ae3cb98a,1
671,8e80a304d8,1
213,272004ba03,1
801,a721030ada,0
796,a6557752e2,0
51,07fb7b55ae,0
71,0c30d57605,0
674,8edf865745,0
832,ac607d528f,0
651,8adcf0c624,0
1209,f9bf5e4841,0
1217,fbe8a7297d,0
142,18719ef99a,0
274,311465d21b,0
72,0c3978fcaa,0
1014,d225dd4ee3,0
282,326a03418a,0
304,375abbb5f7,0
316,3974e8aca1,0
329,3c5330cecb,0
114,14c2383e24,0
376,45fa34e616,0
383,47fee66d89,0
1039,d7047ed511,0
395,4af56f705e,0
103,12a7f9647f,0
1026,d4d165ecab,0
1154,ee5535b00d,0
404,4bf9129c4a,0
14,0282804fec,0
852,afc0fa2bc6,0
441,53499da019,0
459,5a62a1f28a,0
965,c738d13181,0
963,c6ce7b95fe,0
494,64756d6bda,0
923,bd4cd06efe,0
909,b9d5d97fcd,0
893,b66501efd4,0
189,218843dec8,0
86,0f0ef77d0b,0
538,6ec9727069,0
860,b156073a95,0
578,7751cc61ec,0
716,96a47b267f,0
