,seller,money
900,b82db24b23,752
1044,d782f9e09f,747
250,2d13e9120b,746
857,b0ab5d16e2,744
534,6e356b4d04,739
474,5cf403b5a2,739
106,133b7bf8a4,729
154,1b18dc63e7,717
93,10f5d12d72,717
720,97b319cfce,714
495,64f604e392,713
1077,dfc5c5974b,713
691,927c5bfe00,710
1015,d278496cb4,710
173,1ee4b9ab3a,709
33,05e6148c08,708
854,affa1d031c,708
1033,d5977db029,706
355,4132935e2c,704
693,928733225a,699
202,254661315e,686
557,735594e865,681
328,3c4ed0bd37,680
82,0e3a99c174,679
679,8fa635d335,668
254,2e39c49f95,665
797,a65f4b4f73,660
61,099f573fa5,659
28,0495d30222,654
930,bec3a37f6d,653
1093,e396c751c4,653
238,2af0556ad4,651
1137,eb26d39c21,649
1218,fbf03543bf,649
1049,d909b0de7c,646
405,4c8433f119,645
1122,e91d1db3e1,645
1084,e14bac5f66,643
648,8a2fe96adf,637
300,35d9c571e1,632
1102,e55bb039e4,610
310,38a27ad786,607
692,9283998c88,607
576,7703766971,601
615,7f9d834113,596
684,904d42a17d,594
652,8b1346a372,591
663,8d99548ee7,588
390,4a71536b20,587
1195,f6cea9c684,586
333,3d14f7e8bc,583
478,5e6462e326,582
373,4586127991,582
640,888080eaf4,581
694,929d6476a4,579
564,7544e70c1d,571
280,32505c0563,568
885,b546027434,567
148,1a4a21cc0a,565
77,0d0eb04777,564
193,22c9a22fd0,560
224,28ef4a7a93,558
476,5da90e2e67,551
212,26ae020f51,550
119,1540fcff71,544
344,3f51fa663f,543
1169,f071c3e551,543
535,6e5862b761,541
732,99e6b7a499,539
968,c788964150,537
972,c8d5c9d2a4,536
1004,d06195fbc4,532
757,9f55f57827,529
782,a444e4f921,527
550,72422e9f56,523
529,6d4653d87f,522
480,5eda5e1e3b,521
429,51aade4728,514
1024,d44989c54f,514
926,be4f8d327c,510
513,6a64873967,509
431,51c37f00f6,508
1181,f30b4cb89d,504
566,7595f90158,497
1101,e537f2fb5f,497
1183,f3ab9c7fb2,494
873,b2b2eb23c7,490
687,914c7b60c8,488
263,2fab378716,486
880,b47ba155f5,485
506,683f98168f,483
1117,e837a0f57e,483
400,4b56dfdd1d,476
356,41c4b09425,471
528,6d1a2cc55d,470
1081,e08d80fdf7,470
850,af8dce6b81,468
1116,e82e294c31,467
1098,e505b764f9,466
991,cdc277fbfd,466
1017,d2ca1a9c43,465
122,15e3fae6ba,462
733,99f3f29fa6,460
1173,f208cfbf6d,457
670,8e65664d8d,455
320,3aade829ee,453
318,39af6635bf,450
537,6ea84db11a,449
326,3b4a4dd834,445
19,02e1164d51,444
477,5dbb7a68f3,444
1162,ef25285c70,443
1216,fbc406efec,443
73,0c55707667,442
281,3254066b79,439
658,8c6d7e4797,434
518,6b46a61213,433
614,7f9875136b,431
953,c33e3ad79f,428
292,34bc8c80f9,428
809,a885b37384,427
1006,d0db644713,426
110,13ff1086a2,425
830,abf667574b,423
792,a5653319ee,423
99,124251132d,423
697,92d1fc24c3,421
302,368fac5fe0,420
595,7b33baec29,420
454,58c74d3bc9,420
878,b3e0ce955d,419
239,2af2f3664d,417
645,8983d1a259,416
768,a19348fcd5,412
412,4dcbd1da4a,409
1072,defdfd5855,407
147,197190bd80,406
749,9dddfb1eca,405
1005,d0975482ac,404
1197,f719a7b87c,403
432,51c5c08bf1,402
934,bf41c942c4,400
107,136b9872b6,400
903,b95f926717,399
1089,e255dd6b22,398
188,214d649f8a,398
398,4b301c7f86,396
881,b49cdf34d0,394
997,cfc234c252,390
475,5d620ecf48,390
171,1e54d435b0,389
1121,e8d8f1e71b,389
582,78362dd3fa,389
990,cd83f9c972,388
826,ab162eb9a2,388
269,302ba9f15d,386
543,7079639d37,381
278,320a166278,380
950,c2d6aa33a1,379
1002,d009c69c12,378
1069,de5ea11608,378
1236,feeec95ae4,378
129,16f6799cd4,376
414,4e516b9f3f,376
294,354923e891,375
1099,e50bdd23ed,374
388,4995dcf0eb,371
778,a3d24dcac4,371
271,30c2ad3e7b,369
151,1aa7fd5fc0,366
711,9569b3503e,366
335,3d3ca2f7ae,365
864,b19ad045c2,363
64,0a14e5bf46,363
143,1884129708,362
30,04ed0e0533,360
1012,d1b49b7672,360
337,3d9c8ec96c,360
297,358593694f,357
1076,dfaed0d0ca,354
1040,d71e0e84c8,354
109,13eb4fdaba,352
677,8f78449e96,350
1127,e9f29ef403,349
240,2b00ec96cd,347
492,63efd3580d,346
229,29ec6a27de,344
849,af8bc8da2b,343
856,b0a8fd2a6e,338
253,2dc8acf671,337
869,b23864557e,337
479,5e9fc695e1,332
726,98556f6686,332
565,7549b7efa4,330
1109,e68195c6e3,329
1007,d0fb902a37,329
729,9997af2733,327
365,42aee85dba,327
569,75d9c15b0c,323
883,b4cc7240aa,323
4,00ee5d98dc,320
547,7169ca758d,320
97,11a0d80d2b,317
1070,de6baff893,317
585,78f6316a41,315
633,84935397f2,315
922,bd2ef602fd,315
810,a8a8aced0d,312
291,34bae52d8b,312
1185,f481dd3246,309
185,209a0f30fd,309
746,9ca37161be,308
1073,df1a721758,307
425,512514f66c,306
702,945fbdaa6b,306
382,47333c08c3,305
120,155ef53448,304
349,40a4698a8f,302
57,0899334365,301
445,5601fa2190,299
266,2ff966fbc7,298
612,7ed24e2ce4,298
211,2692d5c2a6,298
542,7070d9193a,297
606,7d47dbb46f,295
526,6ccc8d774f,289
277,32064d7997,288
816,a9ac4fd24a,287
813,a9673bd0ad,286
1159,eecdf128c9,286
794,a5c712d646,286
913,badf5fc7d7,284
223,28cd4596e0,284
362,426e26eb14,284
1231,fe79970e4c,281
149,1a89c167b3,281
1191,f5f4423242,280
415,4e848ffdb0,280
536,6e9b7b5f90,279
1065,dd9c4c5ecf,279
1083,e149e6ea20,278
765,a0d627f582,278
203,2550aaf15d,274
920,bc5c5de8dd,270
306,37f0712f6e,269
279,323eebbb41,269
793,a59e8cf63a,269
341,3ec9d7f686,268
1025,d462f5990a,268
391,4a92c41e9f,267
635,852268d894,267
1219,fc723aec6e,267
993,ce3f9b83bb,267
179,1fb9d616a4,266
876,b3a1b04483,266
295,355abe4220,265
516,6afa285a9b,265
201,24d41d98b3,263
503,670c6816b2,262
284,32bfccb013,262
675,8f082b8269,262
1138,eb38aca774,261
561,74e0213e3a,260
549,7225e9f652,259
975,c928d5e0a1,259
1082,e12e9b2dc8,258
437,52ccf8ff76,257
603,7cce5e25a3,257
546,710c1349e7,257
1235,feddcda332,256
80,0ddf349f7a,256
1135,eac444cc90,255
66,0aea55828c,253
706,950968f5c6,253
257,2ebb97e938,253
29,04d77dcca7,253
734,9a1c33b1a6,253
37,066a4c5494,253
1038,d667af1c79,251
126,16a14a77e2,246
262,2f7c1b3120,246
572,764caaea5f,246
403,4bc38d9ba6,245
339,3ea39b3415,243
808,a85dba8599,242
879,b46450f74f,241
915,bb9f35a266,241
597,7b5628a0b8,241
919,bc31cf935e,239
1054,daa0c31aea,238
966,c7430a5d25,238
22,0336ae6670,238
580,77d72ade1e,237
676,8f335096c5,235
927,bea1cdb92c,234
855,b046d3d470,233
195,2376329055,233
145,18c19ed52a,233
555,72ec220698,233
1207,f836a59d08,231
102,12802d660c,230
743,9b2355f29d,229
1066,de092ac419,226
55,0870c02e47,226
839,ad378cb8ba,224
988,cc27ba5c7c,224
205,257811fa30,224
85,0ecfa4e6c3,224
406,4cf76f98b7,223
170,1e2d36c396,223
548,71c12bf344,221
16,02ae7a14d0,220
751,9de45779c5,218
641,88c4891b15,218
626,824c05b733,217
204,255464048f,214
347,4013d7c43a,214
511,69e758fcbf,213
20,032fab092b,212
1110,e6c92b58e7,212
65,0a3c910828,211
43,06cb4b3972,211
134,17ad4cfc2e,211
392,4a96cfef82,209
1019,d30cf2efda,208
1028,d4e1ef4805,208
379,46808081b4,207
196,23aee506c6,207
447,56eb5b08ac,206
1046,d83d79bade,205
589,798c4d3ee8,203
1228,fdf614dcba,202
305,377876332f,201
409,4d417c7c85,201
918,bbfb8b61e9,200
312,38af84ce42,198
661,8d105d7ffa,196
761,9ff44e7923,194
1196,f6f59a9036,193
381,46b20ca1e1,193
1003,d05836eba7,192
979,c9cbaecb6b,192
39,0680ca10f2,192
509,69cdfec639,191
1163,ef51886589,190
906,b99fd0d5e0,188
285,3397084be9,187
650,8a847fe23d,184
1184,f476151e76,184
79,0daa4711e7,182
369,44bad4b69d,182
1123,e9272347cf,182
208,25f5a28840,182
352,40e4ea52fd,182
1188,f4f04933ec,181
1031,d57ef8fc43,181
1182,f366b5d40f,181
515,6adb7f9125,178
611,7ecbb59b66,176
222,28c8b9b3c4,175
955,c45ba12ef3,174
25,0437b92ad0,172
457,59da94c3b9,172
47,07a42e102a,170
1150,edb3fa21b1,169
342,3f11299785,169
1187,f4eedfec59,168
921,bd1affe2a5,168
1132,ea6949b9e5,168
486,612ff6c3a4,165
1193,f68f4d4afe,165
128,16ccedb0b7,165
1108,e6493e968a,164
741,9aee05e623,164
5,00ee755a79,163
887,b59877fe96,163
776,a3af519fd0,163
458,5a577a6b53,163
325,3b1f9ac47c,161
851,af939991ef,160
264,2fb4d2dde4,160
1149,ed4078a05a,159
499,6550731099,158
455,58f09c6492,158
501,65d98a6525,157
1097,e4d2f453a3,155
786,a4bbf96dc9,155
260,2f68f67895,155
1146,ec8a75b5f7,154
552,728b7c03b9,153
156,1b42ecf538,152
178,1fa8b36059,152
888,b5a1df299c,152
745,9c66a4a324,151
1001,d000b01a82,150
715,9668d667f3,150
44,06e0a2f9fc,150
1166,f00fddae02,149
152,1afe134340,149
866,b1d3bbd2db,149
600,7bd2c8c36e,148
744,9c1b08a13d,148
969,c83a2069a2,148
627,826870a05a,147
464,5b59a517f3,146
225,28f64a7e66,146
898,b7ebe1d982,145
487,621e7befa3,144
231,2a0c64654e,144
844,adca391c84,143
592,79d26b0e71,143
461,5ad1cd23f1,143
1060,dca0786ade,142
1080,e02c8ed300,140
350,40ab0cedb7,138
155,1b2751e94d,138
634,8502a54531,138
21,033317a88d,137
586,791d3e4dbf,136
112,149be744fc,136
221,28b280f8ca,136
1141,eb863d5060,135
210,267b29b4fe,134
353,40fcab33bb,134
161,1c8b5c2554,134
123,1672f32e9d,133
868,b1f85b11d4,133
925,be19364a8a,133
1114,e791ba2cb4,132
430,51b9fb3e93,131
531,6dc1d3903c,130
705,9505eb81c0,130
307,3807982095,129
34,05ea76bd24,129
981,ca57a6c895,129
219,28724a316d,128
1151,edc6a03ff6,126
1062,dd111440ff,126
750,9ddf315ef5,125
1129,ea12482ee6,125
1096,e43eff06f3,124
244,2bb467dbd0,123
446,563b960e5d,121
812,a8ddc46fde,121
319,3a23894e03,121
301,367341abd1,121
482,5f451752d9,119
756,9ee51e4b1f,119
450,57df02ce28,119
1104,e5d6426390,117
371,44d3757f45,117
622,82138a63d1,116
1090,e2cfe945ab,116
435,52361e5307,115
199,247adf9be8,114
1029,d4f1cc91c8,110
1000,cffb2d0380,110
680,8fb4ae9120,110
227,29a728d8e2,110
1050,da3c67c7d0,109
608,7e50b48282,109
1227,fd67735872,109
187,20fa279836,109
1107,e64266160d,109
795,a62f5b629d,108
52,0814104f39,108
989,cc5ee32056,108
1238,fffceb6467,108
667,8e4936dc04,108
81,0de95ce201,107
863,b18256add3,105
669,8e5bda67c0,105
191,21cee9ea0e,105
1048,d8df2c4f47,105
755,9edf857d89,105
840,ad48f2ac6c,104
827,ab45fe4247,104
724,982b24fd21,104
15,02a0935ed5,103
908,b9bfadba30,103
559,744d15b77d,103
867,b1e334d19c,102
936,bfad15c1f0,101
574,7683f8e572,101
916,bbaac12992,101
1124,e98dd9785c,100
541,6ff3d4416b,99
401,4b7d847844,99
330,3cdb9e68d5,98
24,03df274f71,97
1115,e793afab08,97
815,a99462f5fe,97
647,8a03c8e47c,97
1036,d5ef8e08ae,96
935,bf9bd17d5b,96
843,adba68e949,95
174,1f232567fe,95
372,4565d22eea,95
286,33a6385207,95
1041,d72fef8509,95
946,c1c9d890b7,94
822,aa75aaec18,94
1067,de181326ad,93
1010,d138ca03f3,93
50,07da6eaf93,91
588,795d6d3b1f,91
999,cff1ee3f20,91
520,6b86f689a2,91
853,aff60ef807,90
1128,ea022ea9c6,90
1171,f0ad5c39a1,89
914,bb1b095cba,89
823,aa7b5ff0af,89
861,b15f516454,89
579,777039aafe,87
985,cb8cd096db,87
218,28665c1c3f,86
943,c14a6eb647,86
215,27bc111db3,86
334,3d1e0fc3d4,86
1205,f7e45ebb69,86
207,25c3b98e5c,85
912,bad2e13c89,85
728,98a735f68b,85
521,6baccd712b,85
500,65ca3a97fd,84
206,25b66b3c4a,84
1152,ee0fad56d8,82
76,0cfc0a3fd2,81
104,1301a1aeb1,81
858,b0e2b197c0,81
283,32beae4e33,80
460,5aca06a7a2,79
775,a32e1edeeb,79
153,1b0ea07fc5,78
804,a793317a1a,78
672,8e9d6ddd5a,77
539,6f27cdfa37,76
8,01611b6cf9,76
243,2ba0075263,76
874,b2e5c7ccf3,75
96,119881f5a0,75
664,8da31bb964,75
646,89d2ec6f0b,74
616,7fe32146bd,74
436,526096552d,74
127,16c4d6edc8,74
351,40b508dd74,74
859,b110a93fd6,73
512,6a331d36c0,73
727,9865a3cd86,72
933,bf2b2136e1,72
419,4f6656754f,71
48,07c99e8baa,71
27,04922cdc72,71
802,a758b5b2d5,71
683,90341a8ea5,71
327,3bbbe024f0,70
94,1144e12c90,70
49,07d518eda9,70
987,cbc0e8903a,70
1179,f2d2835120,69
273,310b0157b4,69
150,1a97fdd369,68
1174,f20b5749bc,68
424,50c186eabc,68
449,577fd35fe1,67
638,8684ecc834,67
1139,eb462c9a82,67
959,c5cd0357ed,66
298,3597b3e5e9,66
69,0ba6ea57de,65
311,38ae037b78,65
607,7de4280673,65
490,63cd8fc58f,64
753,9e50e604d7,64
890,b5dac2f7a3,64
846,ae745a8216,63
12,01f22e3cd9,63
467,5ba58cb96c,63
217,2842244f6a,62
303,36cd42c9e1,62
6,0138110713,62
115,14e0038b32,62
1027,d4dc694e0f,62
265,2fbec7c7cf,62
605,7d08af7758,61
960,c5f0c4a61d,61
491,63d815fcb7,60
323,3b13406997,60
